name,category,subCategory,launched,result,backers,country,pledged,goal,value
The Abundance of Less - Goes to China,Web,Journalism,2017/12/21,live,1,Austria,121.37,14564.34,1
ironmike - wir helfen Menschen gehen,Robots,Technology,2017/12/14,live,0,Austria,0,606847.67,1
TIMELESS ZEITLOS - THE NEW MIKUSKOVICS BAUM ALBUM,Music,Music,2017/12/08,live,9,Austria,542.52,7524.91,1
Heebu.org,Software,Technology,2017/12/07,live,11,Austria,1602.08,20839.15,1
georg___3,Print,Journalism,2017/12/15,live,2,Austria,12.14,303.42,1
You are Strong or weak,Video Games,Games,2017/12/04,live,0,Austria,0,6068.48,1
"The world's best Sports, Travel and Outdoor Jacket",Product Design,Design,2017/12/11,live,295,Austria,131330.33,36410.86,1
Wolf - Wie man dem Schmerz entgegenwirkt,Art,Art,2017/12/22,live,1,Austria,30.34,5449.49,1
Ostasien Fotoserie,Illustration,Art,2017/12/19,live,0,Austria,0,2063.28,1
SAM White Cane,Gadgets,Technology,2017/12/19,live,25,Austria,4609.61,89206.61,1
KUNST ... und [:] Punkt,Film & Video,Film & Video,2017/11/17,live,5,Austria,1468.57,36410.86,1
Music video for new single Abrfabr,Music Videos,Film & Video,2017/12/13,live,0,Austria,0,2427.39,1
Vanishing Point Ruler,Product Design,Design,2017/12/03,live,101,Austria,4951.88,145.64,1
SIMBRO Inline Skating Brake,Technology,Technology,2017/11/20,live,11,Austria,626.27,23667.06,1
The fitness journal - track and reach your goals!,Typography,Design,2017/12/04,live,31,Austria,833.51,2409,1
LEiWAND - European Trail Wear for Trail Mountainbikers,Apparel,Fashion,2017/11/30,successful,105,Austria,16930.45,12045,1
Diese eine Frau,Plays,Theater,2017/11/30,failed,0,Austria,0,18067.5,1
Spicyo - The only artwork created with spices!,Conceptual Art,Art,2017/11/20,failed,2,Austria,144.54,1084.05,1
"Video for my second single ""Breathe""",Electronic Music,Music,2017/12/09,failed,4,Austria,61.16,1187.31,1
Propeller Spring 2.0,Games,Games,2017/12/23,successful,36,Austria,269.84,35.98,1
Photobook // Seychelles - Paradise on Earth,Nature,Photography,2017/11/15,failed,1,Austria,11.99,3597.9,1
VEGAMINO® - BIOSPORT Fruchtgummi,Vegan,Food,2017/11/27,successful,8,Austria,2459.76,2398.6,1
SUNGLASSES FOR EVERYONE!,Fashion,Fashion,2017/11/22,failed,2,Austria,136.31,11852.98,1
RADAR WATCH - Press the Button to Find Your Personal Style,Product Design,Design,2017/11/21,successful,139,Austria,12097.15,11852.98,1
New Urengoy Debut Album,World Music,Music,2017/10/21,failed,1,Austria,11.85,3555.89,1
Hard Copy: Cloning The All Blacks,Journalism,Journalism,2017/11/17,failed,9,Austria,144.61,22224.33,1
grazIN Magazin,Print,Journalism,2017/11/15,failed,0,Austria,0,88544.68,1
Trans-Art Performance at GINC Conference in Rome,Music,Music,2017/11/15,failed,1,Austria,1.18,826.42,1
grinzoo my social pet app,Apps,Technology,2017/11/14,failed,5,Austria,312.86,295148.93,1
SimyBall: Play stress away for enhanced relaxation,Hardware,Technology,2017/11/14,failed,123,Austria,37624.41,88544.68,1
Spinnortality: a cyberpunk management game,Video Games,Games,2017/11/13,successful,812,Austria,16625.15,11805.96,1
