name,category,subCategory,launched,deadline,result,backers,country,pledged,goal
Beefy Crunch Movement Flags - Round 2,Crafts,Crafts,2017/07/31,2017-09-29,canceled,9,US,300,2500
Book of Abel: The Melinthian,Animation,Film & Video,2017/07/31,2017-09-29,canceled,0,US,0,50000
LegendZero's Rap career,Hip-Hop,Music,2017/07/31,2017-09-29,failed,1,US,25,5000
Revolutionary Cloth Diaper,Childrenswear,Fashion,2017/07/31,2017-09-29,failed,6,US,201,100000
Food-Innovation Technology- Harnessing power of Sweet Potato,Food,Food,2017/07/31,2017-09-29,failed,0,GB,0,51547.08
Photos of Singapore (Heartlands),Photography,Photography,2017/07/31,2017-09-29,failed,2,SG,40.5,2209.29
N0MVDs Watch,Product Design,Design,2017/07/31,2017-09-29,canceled,10,CA,1087.62,12057.88
Oh Snap! The first 2-in-1 Turban Beauty Turban/Towel,Accessories,Fashion,2017/07/31,2017-09-29,failed,0,US,0,10000
Please Stay,Video Games,Games,2017/07/31,2017-09-29,failed,2,US,25,5000
EduPlated: Personalized Online Nutrition Coaching,Apps,Technology,2017/07/31,2017-09-19,failed,8,US,623,2500
Seven - an original play about relationships,Performance Art,Art,2017/07/31,2017-09-18,failed,29,US,2401.82,16500
CRAZY WORLD ILOGIC,Mixed Media,Art,2017/07/31,2017-09-14,failed,0,ES,0,1196.3
ARCHIVE BUTLER,Fashion,Fashion,2017/07/31,2017-09-14,failed,1,US,1,15000
Venture : An automatic timepiece made with craftsman spirit,Product Design,Design,2017/07/31,2017-09-14,successful,75,HK,25881.81,25587.55
Protractor: A Proximity Sensor that Measures Angles,DIY Electronics,Technology,2017/07/31,2017-09-14,successful,265,US,12415,1500
New Fishing Apparel,Apparel,Fashion,2017/07/31,2017-09-14,failed,3,US,41,5000
Red Rebane Purist Pro Fahrradrucksack/Fahrradtasche,Product Design,Design,2017/07/31,2017-09-14,successful,101,DE,19156.37,14953.76
Guard - Protection against theft and forgetting things.,Technology,Technology,2017/07/31,2017-09-14,failed,0,NO,0,529942.97
#USMakersProject,Public Art,Art,2017/07/31,2017-09-14,failed,2,US,56,1000
Daily fun gym shirts set,Apparel,Fashion,2017/07/31,2017-09-14,failed,0,SG,0,3722.18
One Of A Kind Singlets,Apparel,Fashion,2017/07/31,2017-09-14,failed,2,AU,24.87,200.58
Chicken & Waffle Bites - Organic,Food,Food,2017/07/31,2017-09-11,failed,11,US,255,18200
The Popcorn Ball. Color Vote 2.0,Product Design,Design,2017/07/31,2017-09-11,successful,514,US,12723,9995
Full size Folding Beach Cruiser Bike with Carbon Belt Drive,Product Design,Design,2017/07/31,2017-09-09,successful,63,CA,41907.39,20598.17
Mejorar App para fomentar el mercado local en México.,Apps,Technology,2017/07/31,2017-09-09,failed,1,MX,16.98,5659.95
"Yellowstone: Film, developing, and printing",Fine Art,Photography,2017/07/31,2017-09-09,failed,2,US,311,1000
bödysöf 2.0: Infuse bodywash or bath oil into shower water!,Product Design,Design,2017/07/31,2017-09-09,canceled,11,US,1025,100000
M.A.C.K,Apparel,Fashion,2017/07/31,2017-09-09,failed,2,US,38,8000
Crazy Heart,Country & Folk,Music,2017/07/31,2017-09-09,canceled,0,US,0,7500
The 8-in-1 bag designed to cater to every lifestyle.,Product Design,Design,2017/07/31,2017-09-07,failed,22,SG,2714.29,7479.43
PuraAwaken,Fashion,Fashion,2017/07/31,2017-09-07,failed,1,GB,23.78,4624.86
STATE LAW CO.,Fashion,Fashion,2017/07/31,2017-09-06,failed,0,US,0,1000
The Femmebots Animated Web Series,Animation,Film & Video,2017/07/31,2017-09-06,successful,71,US,9329.54,9230
"The Elven Chest: a Deck Box, Dice Box, or Fantasy Coin Chest",Tabletop Games,Games,2017/07/31,2017-09-05,successful,499,GB,25962.63,1057.11
Kingdoms of Erden: King of the Mountain strategy card game,Tabletop Games,Games,2017/07/31,2017-09-05,successful,94,US,1204,500
TMNT ACTION FIGURE ENCYCLOPEDIA,Art,Art,2017/07/31,2017-09-05,canceled,495,US,34302,58000
Ultra Soft Sustainable Underwear Aiding Homeless Youth,Apparel,Fashion,2017/07/31,2017-09-04,failed,104,US,6272,11000
