name,category,subCategory,launched,deadline,result,backers,country,pledged,goal
mPIANO – OPEN UP A NEW DIMENSION OF MUSIC,Sound,Technology,2017/07/25,2017-09-23,failed,12,Austria,10764.67,755581.27
Ode to calligraphy,Typography,Design,2017/07/25,2017-09-03,failed,5,Austria,95.27,3014.99
Nightmares escape plan,Mobile Games,Games,2017/07/25,2017-08-27,failed,0,Austria,0,5602.37
Spoontanies Percussion Spoons,Woodworking,Crafts,2017/07/25,2017-08-23,failed,3,Austria,166.49,64944.27
connect: Social Network in Virtual Reality & Multi-Messenger,Software,Technology,2017/07/18,2017-09-16,failed,97,Austria,21437.71,29902.52
Carpe Memo,Webseries,Film & Video,2017/07/18,2017-09-03,failed,11,Austria,1517.14,42209.87
DIVADI - Vegan Eco-Friendly Energy Shoes,Footwear,Fashion,2017/07/16,2017-08-15,failed,14,Austria,1145.82,11739.98
Necromancer's Legacy,Mobile Games,Games,2017/07/14,2017-08-23,failed,3,Austria,54.32,153504.63
Arcanum,Shorts,Film & Video,2017/07/11,2017-08-05,failed,3,Austria,884.73,3529.49
PHOTO1x1 | A New Approach to a Free Photography Course,Film & Video,Film & Video,2017/07/07,2017-08-07,failed,6,Austria,95.3,11764.98
Holzzwecki - The children's book:,Children's Books,Publishing,2017/07/06,2017-09-04,failed,2,Austria,205.02,30149.91
Amabrush - World's First Automatic Toothbrush,Product Design,Design,2017/07/05,2017-08-05,successful,26832,Austria,3763048.66,58824.91
World of Skins - a Documentary about in-game items,Documentary,Film & Video,2017/07/04,2017-08-03,failed,11,Austria,1236.65,30328.74
MilionArt Kaleidoscope - das XXL-Kunstmagazin,Periodicals,Publishing,2017/07/02,2017-08-01,successful,21,Austria,3388.32,3204.37
One Of A Kind Singlets,Apparel,Fashion,2017/07/31,2017-09-14,failed,2,Australia,24.87,200.58
"levelR - Mount Your Pictures Straight, Every Time",Product Design,Design,2017/07/31,2017-08-30,successful,128,Australia,4804,4602.44
Ezy Reach Back Exfoliator,Product Design,Design,2017/07/31,2017-08-30,canceled,6,Australia,507.86,206316.46
Urbanskins Australia to go global,Footwear,Fashion,2017/07/31,2017-08-30,canceled,0,Australia,0,238057.45
DIANA ROSA AND THE GREAT UNSAID,R&B,Music,2017/07/31,2017-08-30,failed,4,Australia,396.76,7935.25
"The Cheese, The Smartphone Stand for Selfie & Group Photos",Product Design,Design,2017/07/31,2017-08-30,canceled,6,Australia,26.98,15870.5
"Advent Space - Sci-fi Shooter for Mobile,PC,Mac & Xbox One",Video Games,Games,2017/07/31,2017-08-20,failed,2,Australia,19.79,2374.36
Phenomena,Shorts,Film & Video,2017/07/31,2017-08-15,successful,24,Australia,3166.56,1979.1
Bamboo Bio Sip Coffee Cup,Product Design,Design,2017/07/30,2017-09-03,canceled,60,Australia,2342.17,20260.96
Mishy's Sexspirations,Publishing,Publishing,2017/07/30,2017-09-03,failed,2,Australia,29.18,8104.38
The Frost Collection: Version 2.0,Tabletop Games,Games,2017/07/30,2017-08-29,successful,111,Australia,14445.21,7935.25
Carbon Renegade - A Chronograph Watch Made Of Carbon Fiber,Product Design,Design,2017/07/29,2017-09-02,successful,252,Australia,60392.25,20260.96
Sofie Dieu & the Great Alpine gallery: workshops & residency,Painting,Art,2017/07/29,2017-08-28,successful,18,Australia,1589.43,1190.29
Augmented Reality AIR Native Extension,Software,Technology,2017/07/28,2017-09-26,successful,15,Australia,4636.23,3602.47
Antarctica- Tears of the sea,Photography,Photography,2017/07/28,2017-09-26,successful,93,Australia,7486.88,6656.75
For the Love of Cinema (Short Film),Drama,Film & Video,2017/07/28,2017-09-26,successful,29,Australia,1607.8,1174.72
Genesis: Kindness begins at home,Shorts,Film & Video,2017/07/28,2017-09-02,canceled,0,Australia,0,4052.19
The New Livesglass - Your Pocket Size Green House,Product Design,Design,2017/07/28,2017-09-01,canceled,357,Australia,19282.34,39676.24
AN22 Titanium Futuristic EDC Retractable Blade & Multi-Tool,Product Design,Design,2017/07/28,2017-08-27,canceled,72,Australia,2901.92,14283.45
TTi-108 Titanium Bolt Action Pen • Tactical Ver.,Product Design,Design,2017/07/28,2017-08-27,successful,43,Australia,9431.84,3967.62
Bueshang's Creations - Raven Skull Mask,Art,Art,2017/07/28,2017-08-27,successful,21,Australia,4887.32,2380.57
Awesome eco-friendly bamboo cars,Design,Design,2017/07/28,2017-08-27,successful,93,Australia,8216.16,7935.25
Latino-Clothing,Apparel,Fashion,2017/07/28,2017-08-27,failed,0,Australia,0,3967.62
The Snip Snap Sisters,Film & Video,Film & Video,2017/07/27,2017-08-26,failed,0,Australia,0,21742.58
Sportsfinda - Giving All Sporting Businesses a Fair Go,Web,Technology,2017/07/27,2017-08-26,failed,0,Australia,0,79352.48
"Head Chef - The tabletop card game of food, fame and fun!",Tabletop Games,Games,2017/07/27,2017-08-26,canceled,87,Australia,3309.79,9522.3
Anti food waste app,Food,Food,2017/07/27,2017-08-26,failed,1,Australia,19.84,23805.75
Brides and Maids board/card game,Tabletop Games,Games,2017/07/27,2017-08-26,canceled,13,Australia,903.03,10126.17
Silence,Shorts,Film & Video,2017/07/27,2017-08-26,failed,0,Australia,0,15870.5
Common Ground: The painless way to organise social events,Apps,Technology,2017/07/27,2017-08-21,failed,7,Australia,237.44,11871.78
Pixel Character Maker,Graphic Design,Design,2017/07/27,2017-08-16,failed,3,Australia,33.25,3166.56
I'll Be There,Shorts,Film & Video,2017/07/26,2017-08-25,successful,19,Australia,4396.52,3957.26
FLIP x FOLD: Travel & Culture Magazine,Literary Journals,Publishing,2017/07/26,2017-08-25,successful,37,Australia,6518.4,6331.62
New Art Prints and Stationery Designs by One Hectare,Illustration,Art,2017/07/26,2017-08-25,failed,13,Australia,393.35,1582.9
"Ultimate Steak Knife: Damascus Steel + Olive, Walnut, Antler",Product Design,Design,2017/07/26,2017-08-25,failed,47,Australia,6297.59,15829.05
"""Clean, Cheap, Power From Fossil Fuel.""",Academic,Publishing,2017/07/26,2017-08-25,failed,2,Australia,118.72,197863.08
The Cactus Club Sweet Shop Set of 4 Hard Enamel Pins,Accessories,Fashion,2017/07/26,2017-08-16,failed,11,Australia,297.66,1345.79
crollan - The pursuit of happiness,Photography,Photography,2017/07/25,2017-08-24,failed,29,Australia,1151.56,3957.26
Polite Society: The Jane Austen Board Game,Tabletop Games,Games,2017/07/25,2017-08-24,successful,1243,Australia,47002.77,14246.14
Jouska : A Card Game For Life-Changing Conversations,Tabletop Games,Games,2017/07/25,2017-08-24,failed,190,Australia,3942.22,11867.83
Award Winning Web Series 'No Pink Cowboys' Marketing Budget,Webseries,Film & Video,2017/07/25,2017-08-24,canceled,7,Australia,1662.05,9497.43
Skey : Key shaped Titanium multi-tool now in black :),Product Design,Design,2017/07/25,2017-08-15,successful,522,Australia,10192.37,791.64
Pouker2.0: Canvas slim wallet with all EDC functions,Product Design,Design,2017/07/25,2017-08-15,successful,109,Australia,1669.57,791.64
"Marketing Live TV - Live & Interactive, Marketing Reality TV",Webseries,Film & Video,2017/07/24,2017-09-01,failed,0,Australia,0,4205.68
Elisop,Apparel,Fashion,2017/07/24,2017-08-30,failed,1,Australia,15.87,1587.05
Floral Tiger Hard Enamel Pin,Accessories,Fashion,2017/07/24,2017-08-09,successful,18,Australia,363.29,196.59
"Mistress La'Strange ""GET PLUGGED!!!""",DIY,Crafts,2017/07/22,2017-08-21,failed,2,Australia,19.79,13889.99
Cult Classic: Japanese Horror Enamel Pin Set,Accessories,Fashion,2017/07/22,2017-08-21,successful,55,Australia,1001.19,527.11
Find Fran - Australia's first on demand sitter/nanny app,Apps,Technology,2017/07/22,2017-08-21,failed,1,Australia,15.83,11871.78
Giant Gummy Worm,Food,Food,2017/07/21,2017-08-27,failed,2,Australia,93.64,15870.5
RetroBall: Build-It-Yourself Pixel Fun For Upto Four Players,DIY Electronics,Technology,2017/07/21,2017-08-20,successful,218,Australia,20108.43,7914.52
Mistworld Productions,Comedy,Film & Video,2017/07/20,2017-09-18,failed,1,Australia,15.94,119521.91
MOAK Cork Duffle - Redefining Travel Bags,Product Design,Design,2017/07/20,2017-08-31,canceled,7,Australia,1055.39,23805.75
Pizza Deliverance: an action comedy short film,Shorts,Film & Video,2017/07/20,2017-08-19,successful,55,Australia,1812.51,1741.2
The Happy Carer!,Robots,Technology,2017/07/20,2017-08-19,failed,6,Australia,431.34,23743.57
Bringing Australian wildflowers to the world,Product Design,Design,2017/07/20,2017-08-19,successful,196,Australia,6905.42,791.45
15mm - 20mm WW3 Cold War Urban tabletop wargame terrain,Tabletop Games,Games,2017/07/20,2017-08-19,successful,24,Australia,6393.75,474.87
Project Real Estate Support System #8,Web,Technology,2017/07/19,2017-09-17,failed,2,Australia,23.9,2151394.42
Sohrab and Rustum,Animation,Film & Video,2017/07/19,2017-09-02,successful,101,Australia,13164.76,6078.29
Everything canned,Food,Food,2017/07/19,2017-08-29,failed,1,Australia,0.79,872.88
Go Do Be Wellness Journal,Design,Design,2017/07/19,2017-08-21,failed,26,Australia,1573.41,11080.33
Dungeons & Dragons Board Game Adventure,Tabletop Games,Games,2017/07/19,2017-08-18,canceled,3,Australia,19.79,39.58
The Howl of the Baskervilles (Sherlock Holmes for kids),Children's Books,Publishing,2017/07/19,2017-08-18,failed,3,Australia,87.08,791.64
The Talking Bread Issue #3: Attack of the Atomic Toaster,Comic Books,Comics,2017/07/19,2017-08-18,successful,73,Australia,1917.35,1583.28
Say Hello to the AHWA,Publishing,Publishing,2017/07/19,2017-08-18,failed,5,Australia,163.87,1187.46
RetroBall: Build-It-Yourself Pixel Fun For Upto Four Players,DIY Electronics,Technology,2017/07/19,2017-08-18,canceled,21,Australia,2002.85,7916.4
Wrappini: The Green Alternative to Plastic Wrap,Product Design,Design,2017/07/19,2017-08-18,successful,35,Australia,2474.67,2374.92
I Heart Tea,Drinks,Food,2017/07/18,2017-09-01,failed,4,Australia,39.68,77765.43
